fold,held_shows,n_train,n_test,classes_train,classes_test,speaker_overlap
0,AD_alhakbah|BA_recording|HA_abu_galbi|SA_sanaa_today|ST_yemen_drama|TA_hlim_alim|TI_qariah_alaman,14300,3200,7,7,0
1,AD_abwab_mughlagah|BA_drop-almarjaleh_2|HA_mimi_kma_wiwi|SA_khabir_alm|ST_yemen_shabab|TA_alalia|TI_alshatrah_fialamara,14350,3150,7,7,0
2,AD_alhakbah|BA_drop-almarjaleh_1|HA_aldar_dark|SA_abwab_sanaa|ST_yemen_broadcast_1|TA_taiz_broadcast|TI_hami_hamik_06,14250,3250,7,7,0
3,AD_last_chance|BA_aljamrah_1|HA_aldar_dark|SA_tariq_ajbari|ST_yemen_drama|TA_alalia|TI_qariah_alaman,14250,3250,7,7,0
4,AD_last_chance|BA_aljamrah_1|HA_alhajil|SA_sanaa_today|ST_aden_live|TA_aljamaliah|TI_qariah_alaman,14400,3100,7,7,0
5,AD_last_chance|BA_drop-almarjaleh_2|HA_hadram_tone|SA_abwab_sanaa|ST_yemen_broadcast_1|TA_aljamaliah|TI_hami_hamik_06,14100,3400,7,7,0
6,AD_10_days_before_wedding|BA_drop-almarjaleh_1|HA_karkma|SA_sanaa_today|ST_yemen_drama|TA_faza_shabab|TI_qariah_alaman,14350,3150,7,7,0
7,AD_alhakbah|BA_drop-almarjaleh_1|HA_abu_galbi|SA_abwab_sanaa|ST_yemen_shabab|TA_taiz_broadcast|TI_hami_hamik_06,14400,3100,7,7,0
8,AD_sanaa_adniah|BA_aljamrah_1|HA_karkma|SA_alqarib_baeed|ST_yemen_shabab|TA_aljamaliah|TI_hudidah_show,14500,3000,7,7,0
9,AD_aish_safari|BA_aljamrah_1|HA_aldar_dark|SA_alqarib_baeed|ST_yemen_broadcast_1|TA_aljamaliah|TI_qariah_alaman,14350,3150,7,7,0
10,AD_sanaa_adniah|BA_drop-almarjaleh_2|HA_alhajil|SA_sanaa_today|ST_aden_live|TA_hlim_alim|TI_hami_hamik_06,14350,3150,7,7,0
11,AD_alhakbah|BA_aljamrah_2|HA_alhajil|SA_tariq_ajbari|ST_yemen_drama|TA_liali_aljahmalia|TI_hudidah_show,14400,3100,7,7,0
12,AD_alhakbah|BA_qahtan_sons|HA_hadram_tone|SA_tariq_ajbari|ST_yemen_shabab|TA_liali_aljahmalia|TI_alshatrah_fialamara,14400,3100,7,7,0
13,AD_sanaa_adniah|BA_qahtan_sons|HA_hadram_tone|SA_khabir_alm|ST_yemen_today|TA_taiz_broadcast|TI_hami_hamik_06,14250,3250,7,7,0
14,AD_10_days_before_wedding|BA_aljamrah_2|HA_mimi_kma_wiwi|SA_alqarib_baeed|ST_yemen_drama|TA_alalia|TI_qariah_alaman,14250,3250,7,7,0
15,AD_last_chance|BA_aljamrah_1|HA_aldar_dark|SA_khabir_alm|ST_yemen_shabab|TA_faza_shabab|TI_alshatrah_fialamara,14450,3050,7,7,0
16,AD_last_chance|BA_drop-almarjaleh_2|HA_alhajil|SA_khabir_alm|ST_yemen_today|TA_alalia|TI_qariah_alaman,14300,3200,7,7,0
17,AD_last_chance|BA_aljamrah_2|HA_abu_galbi|SA_khabir_alm|ST_yemen_broadcast_2|TA_hlim_alim|TI_hudidah_show,14400,3100,7,7,0
18,AD_aish_wamalah|BA_drop-almarjaleh_1|HA_aldar_dark|SA_khabir_alm|ST_yemen_drama|TA_hlim_alim|TI_qariah_alaman,14500,3000,7,7,0
19,AD_aish_safari|BA_drop-almarjaleh_2|HA_karkma|SA_alqarib_baeed|ST_yemen_broadcast_2|TA_hlim_alim|TI_hudidah_show,14450,3050,7,7,0
