corpus,encoder,protocol,repr,mean,sd,pooled,n_folds
aydid,wavlm,random,encoder,0.9059622230322384,0.003512281143257237,0.9059996074650013,20
aydid,wavlm,random,channel,0.641215476348077,0.005329558813773434,0.6412990488827164,20
aydid,wavlm,speaker,encoder,0.8677366453088762,0.01369841243886178,0.8679881768331136,20
aydid,wavlm,speaker,channel,0.5930178867568894,0.015910601510144198,0.5933738560598802,20
aydid,wavlm,source,encoder,0.8273533130569387,0.06836281807165687,0.8326715565806692,20
aydid,wavlm,source,channel,0.5755019153465895,0.0409631524831624,0.579030780584428,20
sadic,wavlm,random,encoder,0.9572342430790982,0.00448642272456508,0.9572392018377122,20
sadic,wavlm,random,channel,0.7351633335870591,0.008801846402445359,0.7353265338932271,20
sadic,wavlm,speaker,encoder,0.9111741964931783,0.016191065189965607,0.9112990063450592,20
sadic,wavlm,speaker,channel,0.6935157892999284,0.025984538237580495,0.6935152501853572,20
sadic,wavlm,domain,encoder,0.7021498845970109,0.06572931931487574,0.7181736716797404,2
sadic,wavlm,domain,channel,0.4817362842621826,0.013013140963750919,0.4909504743693198,2
sada,wavlm,random,encoder,0.5260441514206822,0.013046092069651178,0.5261326982266851,20
sada,wavlm,random,channel,0.523231321761965,0.007100108847676374,0.523279164246722,20
sada,wavlm,speaker,encoder,0.5135735078471471,0.009127784904505802,0.5137785401866154,20
sada,wavlm,speaker,channel,0.5094792774943644,0.012809483758627822,0.5097227962549172,20
sada,wavlm,source,encoder,0.24624320162269359,0.0769617584655211,0.3354370938381576,20
sada,wavlm,source,channel,0.23429671342107233,0.130892201117681,0.2680498806612135,20
