corpus,encoder,protocol,repr,mean,sd,pooled,n_folds
aydid,xlsr,random,encoder,0.9137332678179124,0.003621693980931066,0.9137746496085969,20
aydid,xlsr,random,channel,0.641215476348077,0.005329558813773434,0.6412990488827164,20
aydid,xlsr,speaker,encoder,0.878806241947854,0.010323895853925123,0.8790609436150021,20
aydid,xlsr,speaker,channel,0.5930178867568894,0.015910601510144198,0.5933738560598802,20
aydid,xlsr,source,encoder,0.8400961357261896,0.06741828406697863,0.8454888843500036,20
aydid,xlsr,source,channel,0.5755019153465895,0.0409631524831624,0.579030780584428,20
sadic,xlsr,random,encoder,0.9608578776851628,0.004170268721665807,0.9608772528692374,20
sadic,xlsr,random,channel,0.7351633335870591,0.008801846402445359,0.7353265338932271,20
sadic,xlsr,speaker,encoder,0.9149706987415381,0.020231645177051817,0.9152238496810887,20
sadic,xlsr,speaker,channel,0.6935157892999284,0.025984538237580495,0.6935152501853572,20
sadic,xlsr,domain,encoder,0.7183934225202255,0.06027332131280222,0.7356805072645225,2
sadic,xlsr,domain,channel,0.4817362842621826,0.013013140963750919,0.4909504743693198,2
sada,xlsr,random,encoder,0.5287787546364939,0.0077854959685868756,0.5289174211068816,20
sada,xlsr,random,channel,0.523231321761965,0.007100108847676374,0.523279164246722,20
sada,xlsr,speaker,encoder,0.5228820377676974,0.011010404987116388,0.5230312499608618,20
sada,xlsr,speaker,channel,0.5094792774943644,0.012809483758627822,0.5097227962549172,20
sada,xlsr,source,encoder,0.25275020853355606,0.08416035692842959,0.3415462421158935,20
sada,xlsr,source,channel,0.23429671342107233,0.130892201117681,0.2680498806612135,20
