variant,protocol,fold,n_train,n_test,macro_f1
full,random,0,5625,1874,0.5150767576323907
full,random,1,5625,1874,0.5195951613429352
full,random,2,5625,1874,0.5322341818844741
full,random,3,5625,1874,0.5166350246558643
full,random,4,5625,1874,0.5183898188520614
full,random,5,5625,1874,0.5373685763132761
full,random,6,5625,1874,0.5217758743861206
full,random,7,5625,1874,0.5136384163200439
full,random,8,5625,1874,0.5230645400475505
full,random,9,5625,1874,0.529571460461807
full,random,10,5625,1874,0.5263494850264226
full,random,11,5625,1874,0.5218410229361992
full,random,12,5625,1874,0.5133150471395661
full,random,13,5625,1874,0.5168540613343575
full,random,14,5625,1874,0.5331847585003177
full,random,15,5625,1874,0.5367093696673712
full,random,16,5625,1874,0.5235932711915431
full,random,17,5625,1874,0.5239336101891386
full,random,18,5625,1874,0.5197641929924967
full,random,19,5625,1874,0.5217318043653637
full,speaker,0,5605,1894,0.5069761440826134
full,speaker,1,5546,1953,0.5280250924669465
full,speaker,2,5584,1915,0.5234081541713321
full,speaker,3,5621,1878,0.5037731171599981
full,speaker,4,5602,1897,0.5148053411992676
full,speaker,5,5623,1876,0.510336032632844
full,speaker,6,5621,1878,0.5297959432942703
full,speaker,7,5611,1888,0.509879622636388
full,speaker,8,5545,1954,0.5350358515979367
full,speaker,9,5636,1863,0.4849250431450196
full,speaker,10,5644,1855,0.50611336380753
full,speaker,11,5631,1868,0.5137293552376415
full,speaker,12,5619,1880,0.5027386252648388
full,speaker,13,5638,1861,0.5120912515626704
full,speaker,14,5594,1905,0.5231073550449786
full,speaker,15,5657,1842,0.5149164230324472
full,speaker,16,5594,1905,0.5171556581431781
full,speaker,17,5566,1933,0.506876657107162
full,speaker,18,5618,1881,0.5073825054037884
full,speaker,19,5701,1798,0.4997581473658796
full,show,0,5463,2036,0.2815129129031048
full,show,1,3830,3669,0.2785423265157208
full,show,2,5957,1542,0.30605206860942813
full,show,3,5699,1800,0.2928990448967339
full,show,4,4507,2992,0.29206825980284334
full,show,5,5408,2091,0.3100729210407485
full,show,6,3244,4255,0.2953787572312119
full,show,7,6811,688,0.3247424089590193
full,show,8,5057,2442,0.2401518628630698
full,show,9,6576,923,0.2929893271660619
full,show,10,5845,1654,0.3650544272965317
full,show,11,5912,1587,0.33841014059502333
full,show,12,4730,2769,0.23207447352109475
full,show,13,6605,894,0.3326215552044936
full,show,14,5825,1674,0.2973563875898035
full,show,15,5833,1666,0.34104059341154985
full,show,16,4197,3302,0.2582338007979745
full,show,17,6352,1147,0.327094674986514
full,show,18,5032,2467,0.2885954133931965
full,show,19,5080,2419,0.2382024654078602
nonspeech,random,0,5625,1874,0.5071842221498081
nonspeech,random,1,5625,1874,0.500680421528379
nonspeech,random,2,5625,1874,0.5144400109756874
nonspeech,random,3,5625,1874,0.5014738158518927
nonspeech,random,4,5625,1874,0.5023757261445222
nonspeech,random,5,5625,1874,0.5158586681179865
nonspeech,random,6,5625,1874,0.5068787810345512
nonspeech,random,7,5625,1874,0.5077162415827711
nonspeech,random,8,5625,1874,0.5177792720924533
nonspeech,random,9,5625,1874,0.5263471495276594
nonspeech,random,10,5625,1874,0.530621762439946
nonspeech,random,11,5625,1874,0.49318876176086607
nonspeech,random,12,5625,1874,0.5044741931209821
nonspeech,random,13,5625,1874,0.5110489975294216
nonspeech,random,14,5625,1874,0.5052839363610985
nonspeech,random,15,5625,1874,0.5179837447949094
nonspeech,random,16,5625,1874,0.5043534357261944
nonspeech,random,17,5625,1874,0.5173074718096666
nonspeech,random,18,5625,1874,0.5126844775335156
