K,corpus,draws,n,speaker,source,inc,sd,lo,hi
2,AYDID,20,1049,0.6910047709011472,0.6163476611110761,0.07465710979007127,0.082225225302241,-0.07764754284180513,0.3477373392816548
2,SADA_S,20,308,0.7215662256998019,0.22611057080154984,0.495455654898252,0.15492762492674814,0.1761403456517997,0.7069144700638617
3,AYDID,20,1049,0.6686291507392228,0.6231273038769802,0.04550184686224245,0.07474427959790271,-0.07939716888456441,0.21999405929451962
3,SADA_S,20,541,0.7104747293468454,0.24918153906319188,0.4612931902836537,0.11366730537527933,0.22153334307953765,0.669671133203106
4,AYDID,20,1049,0.6449704000604998,0.5960465472837545,0.04892385277674523,0.05587762256185824,-0.07354074179514977,0.1279330933686465
4,SADA_S,20,646,0.7178689928791628,0.30251590910341064,0.4153530837757522,0.07329399427175452,0.2817404596336775,0.5889351716138951
5,AYDID,20,1049,0.6705867737170234,0.6228449997822567,0.04774177393476673,0.059166096797572884,-0.04312844861006173,0.16901223759160375
5,SADA_S,20,768,0.6975701245776917,0.2844733766050741,0.41309674797261753,0.0801649899621896,0.28213251620781127,0.5751089796154174
6,AYDID,20,1049,0.6551774682364824,0.6517131662121357,0.003464302024346705,0.05733754532765343,-0.07165842926306198,0.15799423739621257
6,SADA_S,20,924,0.675716883985187,0.3256662444950795,0.35005063949010756,0.04937075556934129,0.262621736500272,0.44394498660892756
