corpus,variant,label,n_sources,chance,separability,sd,above_chance,n
aydid,full,YEM_AD,7,0.14285714285714285,0.1772143116954446,0.04010372433887326,1.2405001818681123,2498
aydid,full,YEM_BA,6,0.16666666666666666,0.2682456409030712,0.041223922753997014,1.6094738454184272,2499
aydid,full,YEM_HA,6,0.16666666666666666,0.17193394934563294,0.04407275481241878,1.0316036960737978,2498
aydid,full,YEM_SA,5,0.2,0.16962628914328148,0.02641566097652464,0.8481314457164074,2499
aydid,full,YEM_ST,6,0.16666666666666666,0.09445515966942145,0.03333646563227343,0.5667309580165287,2500
aydid,full,YEM_TA,6,0.16666666666666666,0.1651815337448537,0.029183754461048376,0.9910892024691222,2498
aydid,full,YEM_TI,4,0.25,0.23171645679614175,0.041898035730355894,0.926865827184567,2500
aydid,nonspeech,YEM_AD,7,0.14285714285714285,0.16320025077807676,0.033544831911496334,1.1424017554465373,2498
aydid,nonspeech,YEM_BA,6,0.16666666666666666,0.2435271927701541,0.042731768161451786,1.4611631566209247,2499
aydid,nonspeech,YEM_HA,6,0.16666666666666666,0.15133200402881594,0.0411169490772041,0.9079920241728957,2498
aydid,nonspeech,YEM_SA,5,0.2,0.17938664389775963,0.036998944951537195,0.8969332194887981,2499
aydid,nonspeech,YEM_ST,6,0.16666666666666666,0.09969517964369815,0.03552074686655972,0.5981710778621889,2500
aydid,nonspeech,YEM_TA,6,0.16666666666666666,0.16532423881268993,0.024917831890726255,0.9919454328761396,2498
aydid,nonspeech,YEM_TI,4,0.25,0.22618524602427023,0.03523944465230049,0.9047409840970809,2500
sadic,full,GLF,6,0.16666666666666666,0.6150732341387852,0.060673078673533665,3.6904394048327114,1496
sadic,full,LEV,4,0.25,0.8151606181655078,0.028954160155496986,3.260642472662031,1499
sadic,full,MAG,5,0.2,0.718350875987162,0.07917330264298876,3.59175437993581,1401
sadic,nonspeech,GLF,6,0.16666666666666666,0.5763874616806971,0.06340774825503806,3.458324770084183,1496
sadic,nonspeech,LEV,4,0.25,0.7751366875962047,0.03258117571632618,3.1005467503848188,1499
sadic,nonspeech,MAG,5,0.2,0.6701171196962814,0.06636913454539148,3.350585598481407,1401
sadic_domain,full,EGY,2,0.5,0.6849625319672279,0.050337070959033586,1.3699250639344558,2939
sadic_domain,full,GLF,4,0.25,0.35033836120424017,0.031724723981920826,1.4013534448169607,1496
sadic_domain,full,LEV,3,0.3333333333333333,0.7970310027845742,0.02428094542764393,2.3910930083537227,1499
sadic_domain,full,MAG,3,0.3333333333333333,0.6672225483329909,0.06737434683656654,2.0016676449989728,1401
sadic_domain,nonspeech,EGY,2,0.5,0.6166746246482595,0.03148619010141356,1.233349249296519,2939
sadic_domain,nonspeech,GLF,4,0.25,0.3722975073180672,0.039878421848072665,1.4891900292722688,1496
sadic_domain,nonspeech,LEV,3,0.3333333333333333,0.7676607714524633,0.03335607340668592,2.30298231435739,1499
sadic_domain,nonspeech,MAG,3,0.3333333333333333,0.6051261961219343,0.05210035077323199,1.815378588365803,1401
sada,full,SADA_HIJ,16,0.0625,0.5005060171811178,0.031159433992268226,8.008096274897884,2298
sada,full,SADA_KHA,22,0.045454545454545456,0.5412101733477812,0.019673036477537834,11.906623813651187,2308
sada,full,SADA_NAJ,26,0.038461538461538464,0.5075158686407814,0.02145651352840001,13.195412584660314,2237
sada,nonspeech,SADA_HIJ,16,0.0625,0.46941799520711347,0.017513021192841552,7.5106879233138155,2298
sada,nonspeech,SADA_KHA,22,0.045454545454545456,0.5133946381322355,0.02892586375473279,11.294682038909182,2308
sada,nonspeech,SADA_NAJ,26,0.038461538461538464,0.46639090668329625,0.022277119740198904,12.126163573765702,2237
