K,corpus,n,speaker,source,increment,range_low,range_high
2,AYDID,1049,0.691,0.616,+0.075 +- 0.082,-0.078,+0.348
2,SADA_S,308,0.722,0.226,+0.495 +- 0.155,+0.176,+0.707
3,AYDID,1049,0.669,0.623,+0.046 +- 0.075,-0.079,+0.220
3,SADA_S,541,0.710,0.249,+0.461 +- 0.114,+0.222,+0.670
4,AYDID,1049,0.645,0.596,+0.049 +- 0.056,-0.074,+0.128
4,SADA_S,646,0.718,0.303,+0.415 +- 0.073,+0.282,+0.589
5,AYDID,1049,0.671,0.623,+0.048 +- 0.059,-0.043,+0.169
5,SADA_S,768,0.698,0.284,+0.413 +- 0.080,+0.282,+0.575
6,AYDID,1049,0.655,0.652,+0.003 +- 0.057,-0.072,+0.158
6,SADA_S,924,0.676,0.326,+0.350 +- 0.049,+0.263,+0.444
